date,time,price,sign,change,diff,volume,svalue,offervalue,stksvalue,svolume,offervolume,stksvolume,shcode
20230816,,58000,5,100,-0.17,543569,91750,0,0,101450,139537,240987,161890
20230814,,58100,2,1300,2.29,906785,-85345,0,0,9700,204345,214045,161890
20230811,,56800,2,2000,3.65,1874297,67662,0,0,95045,298249,393294,161890
20230810,,54800,2,3600,7.03,1032259,23011,0,0,27383,215657,243040,161890
20230809,,51200,5,800,-1.54,185993,8493,0,0,4372,49399,53771,161890
20230808,,52000,2,300,0.58,222214,-70103,0,0,-4121,62230,58109,161890
20230807,,51700,2,2850,5.83,485297,53297,0,0,65982,105741,171723,161890
20230804,,48850,2,550,1.14,141278,-5158,0,0,12685,30324,43009,161890
20230803,,48300,2,350,0.73,89551,18102,0,0,17843,23199,41042,161890
20230802,,47950,5,900,-1.84,140039,-1602,0,0,-259,43432,43173,161890
20230801,,48850,2,500,1.03,135235,2324,0,0,1343,27486,28829,161890
20230731,,48350,2,800,1.68,141241,16195,0,0,-981,37567,36586,161890
20230728,,47550,2,300,0.63,138883,-97465,0,0,-17176,46538,29362,161890
20230727,,47250,2,2650,5.94,316486,33989,0,0,80289,54595,134884,161890
20230726,,44600,5,2000,-4.29,195960,28237,0,0,46300,41456,87756,161890
20230725,,46600,2,850,1.86,109567,-19081,0,0,18063,30277,48340,161890
20230724,,45750,5,950,-2.03,126211,6311,0,0,37144,12177,49321,161890
20230721,,46700,2,500,1.08,147887,16242,0,0,30833,34779,65612,161890
20230720,,46200,2,700,1.54,94199,-1936,0,0,14591,24925,39516,161890
20230719,,45500,5,900,-1.94,96947,-24352,0,0,16527,22877,39404,161890
20230718,,46400,3,0,0.00,129042,41903,0,0,40879,17084,57963,161890
