chetime,close,sign,change,diff,chdegree,mdvolume,msvolume,revolume,mdchecnt,mschecnt,rechecnt,volume,open,high,low,cvolume,mdchecnttm,mschecnttm,totofferrem,totbidrem,mdvolumetm,msvolumetm
153000,1008055,2,90,0.01,100.07,1077994,1078765,771,123984,124112,128,2157889,1008055,1008055,1008055,872,0,0,243320,246842,0,0
152000,1008055,2,90,0.01,100.07,1077994,1078765,771,123984,124112,128,2157017,1008055,1008055,1008050,190,8,11,243899,246905,80,110
151930,1008050,2,85,0.01,100.07,1077914,1078655,741,123976,124101,125,2156827,1008055,1008055,1008050,396,13,15,242209,246941,275,121
151900,1008055,2,90,0.01,100.08,1077639,1078534,895,123963,124086,123,2156431,1008050,1008055,1008050,2263,34,29,239330,246212,1620,643
151830,1008050,2,85,0.01,100.17,1076019,1077891,1872,123929,124057,128,2154168,1008050,1008055,1008050,12687,48,50,240490,247833,6933,5754
151800,1008050,2,85,0.01,100.29,1069086,1072137,3051,123881,124007,126,2141481,1008055,1008055,1008050,863,41,43,243139,244447,427,436
151730,1008050,2,85,0.01,100.28,1068659,1071701,3042,123840,123964,124,2140618,1008050,1008055,1008050,1187,39,37,243575,244874,619,568
151700,1008055,2,90,0.01,100.29,1068040,1071133,3093,123801,123927,126,2139431,1008055,1008055,1008050,8976,42,40,242343,244189,4774,4202
151630,1008050,2,85,0.01,100.34,1063266,1066931,3665,123759,123887,128,2130455,1008055,1008055,1008050,2966,56,55,242945,243563,2102,864
151600,1008050,2,85,0.01,100.46,1061164,1066067,4903,123703,123832,129,2127489,1008055,1008055,1008050,3054,46,42,245609,234505,2730,324
151530,1008050,2,85,0.01,100.69,1058434,1065743,7309,123657,123790,133,2124435,1008055,1008055,1008050,2146,47,48,219733,225435,1245,901
151500,1008055,2,90,0.01,100.72,1057189,1064842,7653,123610,123742,132,2122289,1008055,1008055,1008050,10236,47,47,221634,224884,5144,5092
151430,1008050,2,85,0.01,100.73,1052045,1059750,7705,123563,123695,132,2112053,1008050,1008055,1008050,539,58,55,226726,230038,265,274
151400,1008055,2,90,0.01,100.73,1051780,1059476,7696,123505,123640,135,2111514,1008050,1008055,1008050,509,45,49,227000,230303,247,262
151330,1008050,2,85,0.01,100.73,1051533,1059214,7681,123460,123591,131,2111005,1008050,1008055,1008050,1356,81,79,227262,230550,696,660
151300,1008050,2,85,0.01,100.73,1050837,1058554,7717,123379,123512,133,2109649,1008055,1008055,1008050,8787,55,56,227922,231250,4377,4410
151230,1008050,2,85,0.01,100.73,1046460,1054144,7684,123324,123456,132,2100862,1008055,1008055,1008050,832,49,55,232332,235611,389,443
151200,1008050,2,85,0.01,100.73,1046071,1053701,7630,123275,123401,126,2100030,1008055,1008055,1008050,503,41,38,232794,236052,257,246
151130,1008050,2,85,0.01,100.73,1045814,1053455,7641,123234,123363,129,2099527,1008055,1008055,1008050,483,34,33,233040,236300,252,231
151100,1008055,2,90,0.01,100.73,1045562,1053224,7662,123200,123330,130,2099044,1008050,1008055,1008050,7797,47,48,233283,236572,3889,3908
