rank,hname,price,sign,change,diff,volume,svalue,offervalue,stksvalue,svolume,offervolume,stksvolume,sgta,rate,shcode
1,삼성전자,66300,5,400,-0.60,9550903,0,0,0,301402,1913139,2214541,395796583065000,20.65,005930
2,LG에너지솔루션,527000,5,13000,-2.41,169924,0,0,0,-11639,74404,62765,123318000000000,6.43,373220
3,SK하이닉스,117600,2,2800,2.44,2956594,0,0,0,208587,555129,763716,85613078124000,4.47,000660
4,삼성바이오로직스,770000,5,2000,-0.26,28776,0,0,0,313,9894,10207,54803980000000,2.86,207940
5,POSCO홀딩스,547000,5,6000,-1.08,755846,0,0,0,-43266,161862,118596,46260462810000,2.41,005490
6,삼성SDI,598000,5,10000,-1.64,100176,0,0,0,7668,28187,35855,41121188940000,2.15,006400
7,LG화학,567000,5,14000,-2.41,182087,0,0,0,11429,59444,70873,40025858481000,2.09,051910
8,현대차,186400,2,1600,0.87,341210,0,0,0,48213,88533,136746,39429472718400,2.06,005380
9,NAVER,211500,5,6500,-2.98,673526,0,0,0,-13532,223743,210211,34696381477500,1.81,035420
10,포스코퓨처엠,417500,5,7000,-1.65,410442,0,0,0,-49701,114290,64589,32340894350000,1.69,003670
11,기아,78300,5,100,-0.13,494137,0,0,0,66915,179137,246052,31480061094900,1.64,000270
12,셀트리온,149400,2,5800,4.04,2001755,0,0,0,134696,348410,483106,21872573838000,1.14,068270
13,카카오,48550,5,700,-1.42,1056032,0,0,0,-166864,315504,148640,21573245419500,1.13,035720
14,현대모비스,228500,5,2000,-0.87,98867,0,0,0,-8977,50108,41131,21544143979000,1.12,012330
15,KB금융,51900,2,100,0.19,640921,0,0,0,-142204,347429,205225,20942224636800,1.09,105560
16,삼성물산,102200,5,1300,-1.26,185815,0,0,0,-6434,77505,71071,18967468674000,0.99,028260
17,신한지주,34900,2,150,0.43,741720,0,0,0,5838,326161,331999,18090314418200,0.94,055550
18,LG전자,97900,5,2000,-2.00,529320,0,0,0,-17689,140780,123091,16021120990600,0.84,066570
19,SK이노베이션,174100,5,5400,-3.01,420027,0,0,0,-58045,122488,64443,16098254692400,0.84,096770
20,포스코인터내셔널,82100,5,5100,-5.85,4201488,0,0,0,-417408,930133,512725,14443260894800,0.75,047050
